dataset	cache_policy	cache_ratio	hit_rate
TW	presample	0.85	0.988144
TW	presample	0.86	0.989184
TW	presample	0.87	0.990174
TW	presample	0.88	0.991151
TW	presample	0.89	0.99211
TW	presample	0.9	0.993031
TW	presample	0.91	0.993906
TW	presample	0.92	0.994633
TW	presample	0.93	0.995348
TW	presample	0.94	0.996083
TW	presample	0.95	0.996819
TW	presample	0.96	0.997518
TW	presample	0.97	0.998288
TW	presample	0.98	0.998952
TW	presample	0.99	0.999558
TW	presample	1	1
UK	degree	0	0
UK	degree	0.01	0.0750014
UK	degree	0.02	0.108139
UK	degree	0.03	0.134608
UK	degree	0.04	0.160044
UK	degree	0.05	0.18554
UK	degree	0.06	0.206173
UK	degree	0.07	0.222131
UK	degree	0.08	0.240438
UK	degree	0.09	0.262464
UK	degree	0.1	0.282218
UK	degree	0.11	0.302621
UK	degree	0.12	0.327601
UK	degree	0.13	0.344321
UK	degree	0.14	0.361393
UK	degree	0.15	0.377499
UK	degree	0.16	0.390707
UK	degree	0.17	0.404793
UK	degree	0.18	0.419997
UK	degree	0.19	0.434746
UK	degree	0.2	0.450726
UK	degree	0.21	0.473302
UK	degree	0.22	0.484041
UK	degree	0.23	0.49967
UK	degree	0.24	0.513126
UK	degree	0.25	0.524941
UK	degree	0.26	0.536314
UK	degree	0.27	0.547767
UK	degree	0.28	0.55959
UK	degree	0.29	0.57187
UK	degree	0.3	0.583255
UK	degree	0.31	0.594097
UK	degree	0.32	0.605646
UK	degree	0.33	0.618794
UK	degree	0.34	0.629786
UK	degree	0.35	0.639053
UK	degree	0.36	0.648755
UK	degree	0.37	0.658494
UK	degree	0.38	0.667575
UK	degree	0.39	0.675598
UK	degree	0.4	0.684079
UK	degree	0.41	0.692273
UK	degree	0.42	0.699203
UK	degree	0.43	0.708525
UK	degree	0.44	0.715407
UK	degree	0.45	0.723596
UK	degree	0.46	0.730029
UK	degree	0.47	0.739217
UK	degree	0.48	0.748137
UK	degree	0.49	0.757522
UK	degree	0.5	0.768934
UK	degree	0.51	0.777453
UK	degree	0.52	0.789687
UK	degree	0.53	0.797979
UK	degree	0.54	0.805777
UK	degree	0.55	0.815565
UK	degree	0.56	0.82356
UK	degree	0.57	0.829354
UK	degree	0.58	0.838438
UK	degree	0.59	0.845615
UK	degree	0.6	0.850538
UK	degree	0.61	0.856745
UK	degree	0.62	0.86239
UK	degree	0.63	0.869163
UK	degree	0.64	0.875876
UK	degree	0.65	0.883296
UK	degree	0.66	0.888539
UK	degree	0.67	0.893745
UK	degree	0.68	0.898178
UK	degree	0.69	0.909304
UK	degree	0.7	0.929386
UK	degree	0.71	0.941253
UK	degree	0.72	0.953099
UK	degree	0.73	0.959094
UK	degree	0.74	0.964575
UK	degree	0.75	0.968712
UK	degree	0.76	0.972755
UK	degree	0.77	0.977011
UK	degree	0.78	0.980254
UK	degree	0.79	0.983307
UK	degree	0.8	0.985688
UK	degree	0.81	0.987996
UK	degree	0.82	0.989777
UK	degree	0.83	0.991505
UK	degree	0.84	0.992839
UK	degree	0.85	0.994049
UK	degree	0.86	0.995222
UK	degree	0.87	0.996245
UK	degree	0.88	0.997247
UK	degree	0.89	0.998276
UK	degree	0.9	0.998456
UK	degree	0.91	0.998609
UK	degree	0.92	0.998766
UK	degree	0.93	0.99892
UK	degree	0.94	0.999072
UK	degree	0.95	0.999227
UK	degree	0.96	0.999383
UK	degree	0.97	0.999537
UK	degree	0.98	0.999692
UK	degree	0.99	0.999846
UK	degree	1	1
UK	presample	0	0
UK	presample	0.01	0.186871
UK	presample	0.02	0.2846
UK	presample	0.03	0.356042
UK	presample	0.04	0.411883
UK	presample	0.05	0.456731
UK	presample	0.06	0.499177
UK	presample	0.07	0.530915
UK	presample	0.08	0.56226
UK	presample	0.09	0.59358
UK	presample	0.1	0.615443
UK	presample	0.11	0.636056
UK	presample	0.12	0.656891
UK	presample	0.13	0.676765
UK	presample	0.14	0.697116
UK	presample	0.15	0.717406
UK	presample	0.16	0.735606
UK	presample	0.17	0.745424
UK	presample	0.18	0.756018
UK	presample	0.19	0.76598
UK	presample	0.2	0.775784
UK	presample	0.21	0.786649
UK	presample	0.22	0.79783
UK	presample	0.23	0.808117
UK	presample	0.24	0.817786
UK	presample	0.25	0.828003
UK	presample	0.26	0.837974
UK	presample	0.27	0.847933
UK	presample	0.28	0.858018
UK	presample	0.29	0.868216
UK	presample	0.3	0.878417
UK	presample	0.31	0.888534
UK	presample	0.32	0.89872
UK	presample	0.33	0.905035
UK	presample	0.34	0.906446
UK	presample	0.35	0.908083
UK	presample	0.36	0.909314
UK	presample	0.37	0.910332
UK	presample	0.38	0.911641
UK	presample	0.39	0.913965
UK	presample	0.4	0.915647
UK	presample	0.41	0.917289
UK	presample	0.42	0.919135
UK	presample	0.43	0.920487
UK	presample	0.44	0.921936
UK	presample	0.45	0.923631
UK	presample	0.46	0.924815
UK	presample	0.47	0.926464
UK	presample	0.48	0.928076
UK	presample	0.49	0.929267
UK	presample	0.5	0.930611
UK	presample	0.51	0.93181
UK	presample	0.52	0.933552
UK	presample	0.53	0.935351
UK	presample	0.54	0.937452
UK	presample	0.55	0.939497
UK	presample	0.56	0.941019
UK	presample	0.57	0.942419
UK	presample	0.58	0.94368
